name,lat,lng,time
Kempten,47.7119399,10.3176518,"08:00-13:45, 14:30-20:00"
"Kiel Hbf",54.3134463,10.1310136,06:00-22:30
"Koblenz Hbf",50.3508227,7.5892636,06:10-22:20
"Köln Hbf",50.9427839,6.9590705,00:00-24:00
"Köln Messe/ Deutz",50.9409887,6.9751312,06:00-22:00
Konstanz,47.6604855,9.1784931,"Mo-Fr 07:00-21:00"
Landshut,48.5475468,12.1360812,08:00-20:00
"Leer (Ostfr.)",53.2314228,7.4653168,08:00-18:30
"Leipzig Hbf",51.3465518,12.3830858,06:00-24:00
Lichtenfels,50.14607115,11.060278781574194,07:00-19:00
Lindau-Insel,47.544202,9.6808298,"09:30-10:30, 11:30-18:30"
"Ludwigshafen/Rh. Hbf",49.4775595,8.4341483,"Mo-Fr 08:15-19:30"
"Lübeck Hbf",53.8675937,10.6698551,06:00-22:00
Lüneburg,53.2497728,10.4197721,06:00-22:30
"Magdeburg Hbf",52.1305167,11.6267187,06:00-22:30
"Mainz Hbf",50.001113,8.258723,06:00-22:30
"Mannheim Hbf",49.4792363,8.4694107,06:00-24:00
"Marburg (Lahn)",50.8192169,8.7750878,"Mo-Fr 06:25-20:30"
Marktredwitz,50.0044648,12.082401,07:00-19:00
Minden,52.2900991,8.9355701,"Mo-Sa 07:30-17:30"
"Mönchengladbach Hbf",51.1967199,6.4462733,06:15-22:15
"München Hbf",48.1407253,11.5569426,00:00-24:00
"München Laim",48.1443523,11.5038355,"Mo-Fr 6:00-20:00"
"München Ost",48.1277214,11.6055187,06:00-24:00
"München Pasing",48.1499561,11.4617667,06:00-24:00
"München Marienplatz",48.1371436,11.5753989,"Mo-Sa 06:30-20:30"
"Flughafen München",48.3537694,11.7861263,07:00-21:00
"Münster (Westf) Hbf",51.9564055,7.635792,06:00-24:00
"Naumburg (Saale) Hbf",51.1629266,11.7966387,08:00-18:00
Neumünster,54.076492849999994,9.980272997626212,06:00-22:00
"Neuss Hbf",51.2044376,6.6846709,06:15-22:15
"Neustadt/W. Hbf",49.3496215,8.1411096,"Mo-Fr 08:15-19:30"
Niebüll,54.7903748,8.8343029,08:00-20:00
"Nienburg (Weser)",52.6453759,9.2178273,07:00-21:00
"Norddeich Mole",53.6215410,7.1608733,08:00-18:30
Northeim,51.7031949,9.9865371,08:00-20:00
"Nürnberg Hbf",49.4451991,11.0823089,06:00-24:00
"Oberhausen Hbf",51.4749062,6.8516806,06:00-22:30
Oberstdorf,47.4112728,10.27825,08:30-19:00
Offenburg,48.4759009,7.9454626,06:00-23:30
"Oldenburg (Oldenb)",53.1436660,8.2225122,06:00-22:15
"Osnabrück Hbf",52.2729063,8.0615665,06:00-22:15
Paderborn,51.7128598,8.7404385,06:00-22:30
"Passau Hbf",48.5737124,13.4504744,06:00-22:00
"Pforzheim Hbf",48.8939815,8.7032583,"Mo-Fr 06:05-22:00"
Plattling,48.7794821,12.8640159,06:30-21:30
Plochingen,48.7130273,9.4109739,"Mo-Fr 06:15-10:00, 10:30-20:00"
"Potsdam Hbf",52.3915165,13.0672235,06:00-22:00
Radolfzell,47.7355736,8.9686839,"Mo-Fr 07:00-19:45"
"Regensburg Hbf",49.0122056,12.0997326,06:00-22:30
Rheine,52.27617,7.4340189,"Mo-Sa 07:00-22:30"
Riesa,51.3095415,13.2873347,"Mo-Fr 07:30-17:15"
Rosenheim,47.851407,12.1182668,06:00-22:00
"Rostock Hbf",54.0781503,12.1311246,06:05-22:05
Saalfeld,50.6507026,11.3735925,08:00-18:00
"Saarbrücken Hbf",49.2411972,6.990794,06:00-23:20
"Siegburg/ Bonn",50.7940258,7.2026578,08:00-20:00
"Schweinfurt Hbf",50.0350546,10.2120347,08:00-20:00
"Schwerin Hbf",53.6353803,11.4075049,06:00-21:45
Siegen,50.8759626,8.0164616,"Mo-Fr 06:30-21:30"
"Sulingen Hbf",52.6836849,8.8080455,06:15-22:00
Stralsund,54.309055,13.0776883,06:00-21:55
"Stuttgart Hbf",48.7856099,9.1833959,00:00-24:00
"Trier Hbf",49.7569658,6.6519999,"Mo-Sa 06:30-22:20"
"Tübingen Hbf",48.5153294,9.053241459600045,"Mo-Fr 06:00-22:30"
Uelzen,52.9695952,10.5529747,06:00-22:00
"Ulm Hbf",48.3995666,9.9827154,06:30-23:15
Weimar,50.9914438,11.3263608,08:10-18:35
"Westerland (Sylt)",54.9059163,8.3130412,"Mo-Fr 08:15-20:00"
"Wiesbaden Hbf",50.0698313,8.2439848,"Mo-Fr 06:15-19:45"
"Wolfsburg Hbf",52.4294853,10.7871395,06:00-22:30
"Worms Hbf",49.6351798,8.3566466,"Mo 08:00-20:00"
"Würzburg Hbf",49.8021139,9.9362469,06:00-22:30
"Wuppertal Hbf",51.2545784,7.1500534,06:15-22:15
"Zwickau (Sachs)",50.7148501,12.4757824,08:00-18:00
"Altenburg Hbf",51.3568506,11.9904345,06:00-22:00
Amberg,49.4474822,11.8628569,06:00-22:00
Andernach,50.43478625,7.403555697452999,06:30-22:00
Angermünde,53.0155012,13.9971761,06:00-22:00
Anklam,53.8560688,13.7018698,07:00-21:00
